2026-02-02 01:20:02.909 | INFO     | __main__:stop:289 - Stopping Whale Watcher...
2026-02-02 01:20:02.911 | INFO     | __main__:stop:289 - Stopping Whale Watcher...
2026-02-02 01:20:02.913 | INFO     | __main__:stop:289 - Stopping Whale Watcher...
2026-02-02 01:20:02.916 | INFO     | src.alerts.alert_manager:_process_alerts:136 - Alert processor stopped
2026-02-02 01:20:02.917 | INFO     | src.alerts.alert_manager:stop:91 - Alert manager stopped
2026-02-02 01:20:02.918 | INFO     | src.platforms.polymarket:disconnect:241 - Disconnected from Polymarket WebSocket
2026-02-02 01:20:02.919 | INFO     | src.platforms.kalshi:disconnect:328 - Disconnected from Kalshi WebSocket
2026-02-02 01:20:02.919 | INFO     | __main__:stop:313 - Whale Watcher stopped
2026-02-02 01:20:02.920 | INFO     | src.alerts.alert_manager:stop:91 - Alert manager stopped
2026-02-02 01:20:02.921 | INFO     | src.platforms.polymarket:disconnect:241 - Disconnected from Polymarket WebSocket
2026-02-02 01:20:02.921 | INFO     | src.platforms.kalshi:disconnect:328 - Disconnected from Kalshi WebSocket
2026-02-02 01:20:02.922 | INFO     | __main__:stop:313 - Whale Watcher stopped
2026-02-02 01:20:02.922 | INFO     | src.alerts.alert_manager:stop:91 - Alert manager stopped
2026-02-02 01:20:02.922 | INFO     | src.platforms.polymarket:disconnect:241 - Disconnected from Polymarket WebSocket
2026-02-02 01:20:02.922 | INFO     | src.platforms.kalshi:disconnect:328 - Disconnected from Kalshi WebSocket
2026-02-02 01:20:02.922 | INFO     | __main__:stop:313 - Whale Watcher stopped
2026-02-01 17:50:44.230 | INFO     | src.database.db:init:68 - Database initialized at /tmp/whale_watcher.db
2026-02-01 17:50:44.230 | INFO     | main:initialize:160 - Database initialized: /tmp/whale_watcher.db
2026-02-01 17:50:44.230 | INFO     | main:initialize:188 - Polymarket client initialized
2026-02-01 17:50:44.231 | INFO     | main:initialize:193 - Kalshi client initialized
2026-02-01 17:50:44.231 | INFO     | main:initialize:195 - Initialization complete
2026-02-01 17:50:44.231 | INFO     | main:start:247 - Starting Whale Watcher...
2026-02-01 17:50:44.483 | INFO     | src.alerts.slack_bot:initialize:70 - Slack webhook verified successfully
2026-02-01 17:50:44.484 | INFO     | src.alerts.slack_bot:start:83 - Slack bot started
2026-02-01 17:50:44.484 | INFO     | src.alerts.alert_manager:start:89 - Alert manager started
2026-02-01 17:50:44.484 | INFO     | main:start:266 - Whale Watcher started - monitoring for whale activity
2026-02-01 17:50:44.485 | INFO     | src.alerts.alert_manager:_process_alerts:124 - Alert processor started
2026-02-01 17:50:44.485 | INFO     | main:_run_platform:277 - Starting Polymarket WebSocket listener...
2026-02-01 17:50:44.511 | INFO     | main:_run_platform:277 - Starting Kalshi WebSocket listener...
2026-02-01 17:50:44.794 | ERROR    | src.platforms.kalshi:connect:316 - Failed to connect to Kalshi WebSocket: server rejected WebSocket connection: HTTP 401
2026-02-01 17:50:44.795 | ERROR    | src.platforms.kalshi:start_listening:358 - Kalshi WebSocket error: server rejected WebSocket connection: HTTP 401
2026-02-01 17:50:44.912 | INFO     | src.platforms.polymarket:connect:219 - Connected to Polymarket WebSocket
2026-02-01 17:50:50.029 | ERROR    | src.platforms.kalshi:connect:316 - Failed to connect to Kalshi WebSocket: server rejected WebSocket connection: HTTP 401
2026-02-01 17:50:50.029 | ERROR    | src.platforms.kalshi:start_listening:358 - Kalshi WebSocket error: server rejected WebSocket connection: HTTP 401
2026-02-01 17:50:55.256 | ERROR    | src.platforms.kalshi:connect:316 - Failed to connect to Kalshi WebSocket: server rejected WebSocket connection: HTTP 401
